Name,Company,ID,pigment1,pigment2,pigment3,pigment4,Transparency,Granulating,Staining,Lightfastness,(Pigments),(count-pigments)
titanium opaque white,Schmincke,101,PW6,,,,opaque,,,,/PW6/,1
permanent Chinese white,Schmincke,102,PW4,,,,semi-transparent,,,,/PW4/,1
titanium yellow,Schmincke,206,PY53,,,,semi-opaque,,,,/PY53/,1
lemon yellow,Schmincke,215,PY3,,,,semi-transparent,,,,/PY3/,1
cadmium yellow lemon,Schmincke,223,PY35,,,,semi-opaque,,,,/PY35/,1
chromium yellow lemon,Schmincke,211,PY175,,,,transparent,,,,/PY175/,1
vanadium yellow,Schmincke,207,PY184,,,,opaque,,,,/PY184/,1
cadmium yellow light,Schmincke,224,PY35,,,,opaque,,,,/PY35/,1
pure yellow,Schmincke,216,PY154,,,,transparent,,,,/PY154/,1
aureolin hue,Schmincke,208,PY151,,,,semi-transparent,,,,/PY151/,1
cadmium yellow medium,Schmincke,225,PY35,,,,semi-opaque,,,,/PY35/,1
chromium yellow hue light,Schmincke,212,PY153,PY155,,,transparent,,,,/PY153/PY155/,2
transparent yellow,Schmincke,209,PY150,,,,transparent,,,,/PY150/,1
Turner's yellow,Schmincke,219,PY216,,,,semi-opaque,,,,/PY216/,1
quinacridone gold,Schmincke,217,PY150,PR101,,,transparent,,,,/PY150/PR101/,2
chromium yellow hue deep,Schmincke,213,PY65,,,,semi-transparent,,,,/PY65/,1
cadmium yellow hue deep,Schmincke,226,PY35,PO20,,,semi-opaque,,,,/PY35/PO20/,2
Indian yellow,Schmincke,220,PY110,PY154,,,transparent,,,,/PY110/PY154/,2
yellow orange,Schmincke,222,PY110,,,,transparent,,,,/PY110/,1
cadmium orange light,Schmincke,227,PO20,,,,semi-opaque,,,,/PO20/,1
chromium orange hue,Schmincke,214,PO62,,,,semi-transparent,,,,/PO62/,1
cadmium orange deep,Schmincke,228,PO20,,,,opaque,,,,/PO20/,1
transparent orange,Schmincke,218,PO71,,,,semi-transparent,,,,/PO71/,1
Saturn red,Schmincke,359,PO64,,,,semi-transparent,,,,/PO64/,1
cadmium red orange,Schmincke,348,PO20,,,,opaque,,,,/PO20/,1
permanent red orange,Schmincke,360,PO62,PR242,,,semi-opaque,,,,/PO62/PR242/,2
permanent red,Schmincke,361,PR242,PO62,,,semi-opaque,,,,/PR242/PO62/,2
cadmium red light,Schmincke,349,PR108,,,,opaque,,,,/PR108/,1
geranium red,Schmincke,341,PR242,,,,semi-transparent,,,,/PR242/,1
vermillion,Schmincke,365,PR255,,,,opaque,,,,/PR255/,1
vermillion light,Schmincke,342,PR188,,,,transparent,,,,/PR188/,1
scarlet red,Schmincke,363,PR254,,,,semi-opaque,,,,/PR254/,1
cadmium red medium,Schmincke,347,PR108,,,,opaque,,,,/PR108/,1
qunacridone red light,Schmincke,343,PR207,,,,transparent,,,,/PR207/,1
transparent red deep,Schmincke,355,PR144,,,,semi-transparent,,,,/PR144/,1
cadmium red deep,Schmincke,350,PR108,,,,opaque,,,,/PR108/,1
perylene maroon,Schmincke,366,PR179,,,,semi-opaque,,,,/PR179/,1
perylene dark red,Schmincke,344,PR178,,,,semi-opaque,,,,/PR178/,1
alizarin crimson,Schmincke,357,PR83:1,,,,semi-transparent,,,,/PR83:1/,1
ruby red deep,Schmincke,346,PR264,,,,semi-opaque,,,,/PR264/,1
madder lake deep,Schmincke,358,PR83:1,PR177,,,semi-transparent,,,,/PR83:1/PR177/,2
madder red dark,Schmincke,354,PV19,PR179,,,semi-transparent,,,,/PV19/PR179/,2
Bordeaux ,Schmincke,362,PR187,,,,transparent,,,,/PR187/,1
rose madder,Schmincke,356,PR83:1,PR48:4,,,transparent,,,,/PR83:1/PR48:4/,2
permanent carmine,Schmincke,353,PV19,,,,semi-opaque,,,,/PV19/,1
ruby red,Schmincke,351,PV19,,,,semi-transparent,,,,/PV19/,1
magenta,Schmincke,352,PV42,,,,semi-transparent,,,,/PV42/,1
purple magenta,Schmincke,367,PR122,,,,transparent,,,,/PR122/,1
quinacridone magenta,Schmincke,369,PR202,,,,semi-transparent,,,,/PR202/,1
quinacridone violet,Schmincke,368,PV19,,,,semi-opaque,,,,/PV19/,1
potters pink,Schmincke,370,PR233,,,,semi-transparent,G,,,/PR233/,1
perylene violet,Schmincke,371,PV29,,,,opaque,,,,/PV29/,1
quinacridone purple,Schmincke,472,PV55,,,,semi-transparent,,,,/PV55/,1
manganese violet,Schmincke,474,PV16,,,,semi-transparent,G,,,/PV16/,1
Schmincke violet,Schmincke,476,PV23,,,,semi-transparent,,,,/PV23/,1
cobalt violet blue,Schmincke,473,PV62,,,,transparent,G,,,/PV62/,1
ultramarine violet,Schmincke,495,PV15,PB29,,,semi-transparent,G,,,/PV15/PB29/,2
Delft blue,Schmincke,482,PB60,,,,opaque,,,,/PB60/,1
indigo,Schmincke,485,PB15:1,PB66,,,opaque,,,,/PB15:1/PB66/,2
dark blue,Schmincke,498,PB60,,,,semi-opaque,,,,/PB60/,1
